date,time,log_id,level,component,message,log_id_numeric,hour,minute,second,message_length,word_count,component_length,prediction,anomaly_score,anomaly
081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,148,20,36,15,61,6,28,1,0.013484736851858137,NORMAL
081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,222,20,38,7,64,6,28,1,0.014287874461734185,NORMAL
081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,35,20,40,5,121,11,16,1,0.01580332212224622,NORMAL
081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,308,20,40,15,63,6,28,1,0.023987011615805964,NORMAL
081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,329,20,41,6,64,6,28,1,0.012187165904847475,NORMAL
081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,26,20,41,32,121,11,16,1,0.05140806960598676,NORMAL
081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,34,20,43,24,121,11,16,1,0.03888198715705282,NORMAL
081109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,34,20,44,53,120,11,16,1,0.007661109842426628,NORMAL
081109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,512,20,45,25,62,6,28,1,0.01532143086353166,NORMAL
081109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,556,20,46,55,74,8,28,1,0.0038884099142632023,NORMAL
081109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,567,20,47,22,76,8,28,1,0.022285178610329193,NORMAL
081109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,653,20,48,15,88,7,24,1,0.0413513996382604,NORMAL
081109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,663,20,48,42,94,7,24,1,0.044158729732143076,NORMAL
081109,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,31,20,49,8,120,11,16,1,0.02370133590920087,NORMAL
081109,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,673,20,49,25,93,7,24,1,0.04945703295666726,NORMAL
081109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,28,20,50,35,131,4,16,-1,-0.0162134258676071,ANOMALY
081109,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,710,20,50,56,63,6,28,-1,-0.002084045819207514,ANOMALY
081109,205157,752,INFO,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,752,20,51,57,74,8,28,-1,-0.014545567728275532,ANOMALY
081109,205315,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,29,20,53,15,131,4,16,-1,-0.022211238501490538,ANOMALY
081109,205409,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,28,20,54,9,122,11,16,1,0.028702527446671566,NORMAL
081109,205412,832,INFO,dfs.DataNode$PacketResponder,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,832,20,54,12,76,8,28,1,0.008520672172741883,NORMAL
081109,205632,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,28,20,56,32,121,11,16,1,0.03488792517371275,NORMAL
081109,205739,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,29,20,57,39,121,11,16,1,0.026304003193130532,NORMAL
081109,205742,1001,INFO,dfs.DataNode$PacketResponder,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,1001,20,57,42,76,8,28,-1,-0.002277374913781993,ANOMALY
081109,205746,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,29,20,57,46,121,11,16,1,0.01955157707857136,NORMAL
081109,205749,997,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,997,20,57,49,93,7,24,1,0.018982218764715397,NORMAL
081109,205754,952,INFO,dfs.DataNode$PacketResponder,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,952,20,57,54,75,8,28,-1,-0.011374758180229705,ANOMALY
081109,205858,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,31,20,58,58,131,4,16,-1,-0.045363831961234946,ANOMALY
081109,205931,13,INFO,dfs.DataBlockScanner,Verification succeeded for blk_-4980916519894289629,13,20,59,31,51,4,20,-1,-0.07325827587379563,ANOMALY
081109,210022,1110,INFO,dfs.DataNode$PacketResponder,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,1110,21,0,22,76,8,28,1,0.021807177375931186,NORMAL
081109,210037,1084,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,1084,21,0,37,93,7,24,1,0.03676471681906757,NORMAL
081109,210248,1138,INFO,dfs.DataNode$PacketResponder,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,1138,21,2,48,75,8,28,1,0.01853314730070743,NORMAL
081109,210407,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,33,21,4,7,120,11,16,1,0.010705251985409392,NORMAL
081109,210458,1278,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,1278,21,4,58,94,7,24,1,0.010989963639721045,NORMAL
081109,210551,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,32,21,5,51,119,11,16,1,0.015270545035612648,NORMAL
081109,210637,1283,INFO,dfs.DataNode$PacketResponder,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,1283,21,6,37,76,8,28,1,0.03187489362620133,NORMAL
081109,210656,1334,INFO,dfs.DataNode$PacketResponder,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,1334,21,6,56,76,8,28,1,0.008817691912512249,NORMAL
